goos: darwin
goarch: arm64
pkg: github.com/opencoff/go-sieve/bench
cpu: Apple M2 Pro
BenchmarkParallelGet/msr_2007/msr_hm_0/SieveK1-12         	663912656	         1.683 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/SieveK1-12         	694475924	         1.760 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/SieveK1-12         	624513993	         1.680 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/SieveK1-12         	713217657	         1.683 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/SieveK1-12         	709936125	         1.740 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/SieveK1-12         	685409277	         1.741 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/SieveK3-12         	658772680	         1.803 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/SieveK3-12         	670581963	         1.760 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/SieveK3-12         	685262176	         1.755 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/SieveK3-12         	675519727	         1.752 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/SieveK3-12         	666839084	         1.782 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/SieveK3-12         	680655073	         1.785 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/LRU-12             	 6380580	       190.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/LRU-12             	 6227622	       189.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/LRU-12             	 6290991	       187.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/LRU-12             	 6264297	       191.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/LRU-12             	 6301572	       192.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/LRU-12             	 6436195	       190.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/ARC-12             	 5311119	       224.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/ARC-12             	 5239646	       236.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/ARC-12             	 4982852	       244.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/ARC-12             	 4993144	       243.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/ARC-12             	 5470426	       219.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_hm_0/ARC-12             	 5289590	       226.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/SieveK1-12        	659346846	         1.783 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/SieveK1-12        	667484026	         1.816 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/SieveK1-12        	664842810	         1.794 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/SieveK1-12        	661182222	         1.769 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/SieveK1-12        	684301527	         1.756 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/SieveK1-12        	674811738	         1.777 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/SieveK3-12        	664023178	         1.835 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/SieveK3-12        	654161878	         1.794 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/SieveK3-12        	659662486	         1.900 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/SieveK3-12        	663237939	         1.809 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/SieveK3-12        	660944448	         1.806 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/SieveK3-12        	629185423	         1.991 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/LRU-12            	 6034836	       184.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/LRU-12            	 6141132	       186.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/LRU-12            	 6201526	       185.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/LRU-12            	 6146420	       186.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/LRU-12            	 6069812	       182.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/LRU-12            	 6101989	       185.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/ARC-12            	 4845946	       245.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/ARC-12            	 4566247	       247.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/ARC-12            	 4861015	       237.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/ARC-12            	 4622068	       238.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/ARC-12            	 4805815	       237.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_prn_0/ARC-12            	 4761108	       238.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/SieveK1-12       	630461122	         1.898 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/SieveK1-12       	635059938	         1.968 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/SieveK1-12       	628214142	         1.923 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/SieveK1-12       	635279170	         1.921 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/SieveK1-12       	625510536	         1.946 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/SieveK1-12       	540191160	         1.912 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/SieveK3-12       	605972234	         1.981 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/SieveK3-12       	620041684	         1.952 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/SieveK3-12       	596236503	         1.962 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/SieveK3-12       	603762951	         1.954 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/SieveK3-12       	592626979	         2.002 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/SieveK3-12       	599706020	         1.971 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/LRU-12           	 6431527	       198.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/LRU-12           	 6418728	       193.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/LRU-12           	 6359762	       194.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/LRU-12           	 6338479	       193.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/LRU-12           	 6487256	       196.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/LRU-12           	 6434376	       195.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/ARC-12           	 4595728	       254.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/ARC-12           	 4956415	       255.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/ARC-12           	 5005686	       250.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/ARC-12           	 4905978	       263.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/ARC-12           	 4959394	       268.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_proj_0/ARC-12           	 4593092	       253.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/SieveK1-12        	516837414	         2.076 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/SieveK1-12        	522933824	         2.120 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/SieveK1-12        	522754904	         2.081 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/SieveK1-12        	574583078	         2.083 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/SieveK1-12        	518227015	         2.061 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/SieveK1-12        	564110247	         2.110 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/SieveK3-12        	583937462	         2.129 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/SieveK3-12        	575031416	         2.073 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/SieveK3-12        	560765568	         2.080 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/SieveK3-12        	553706766	         2.077 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/SieveK3-12        	558798831	         2.084 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/SieveK3-12        	570859977	         2.120 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/LRU-12            	 7110609	       174.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/LRU-12            	 7056638	       173.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/LRU-12            	 7161086	       171.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/LRU-12            	 7009454	       172.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/LRU-12            	 7133740	       173.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/LRU-12            	 6996434	       171.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/ARC-12            	 6048621	       198.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/ARC-12            	 6054136	       197.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/ARC-12            	 5740549	       197.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/ARC-12            	 6118897	       198.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/ARC-12            	 6087657	       201.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGet/msr_2007/msr_web_2/ARC-12            	 6058634	       197.7 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/opencoff/go-sieve/bench	370.592s
