goos: linux
goarch: amd64
pkg: github.com/opencoff/go-sieve
cpu: 13th Gen Intel(R) Core(TM) i9-13900
BenchmarkSlotState_LockAndMark_Uncontended_K1-32           	100000000	        10.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_Uncontended_K1-32           	100000000	        10.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_Uncontended_K1-32           	100000000	        10.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_Uncontended_K3-32           	80263214	        14.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_Uncontended_K3-32           	95544504	        14.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_Uncontended_K3-32           	90301334	        14.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_Lock_Uncontended-32                     	100000000	        10.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_Lock_Uncontended-32                     	100000000	        10.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_Lock_Uncontended-32                     	100000000	        10.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_IsVisited_Uncontended-32                	1000000000	         0.4545 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_IsVisited_Uncontended-32                	1000000000	         0.4546 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_IsVisited_Uncontended-32                	1000000000	         0.4551 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_Clear_Uncontended-32                    	43322269	        27.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_Clear_Uncontended-32                    	46517918	        27.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_Clear_Uncontended-32                    	40998704	        27.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndReset_Uncontended-32             	77759378	        14.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndReset_Uncontended-32             	79372958	        14.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndReset_Uncontended-32             	76872704	        14.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_Contended_K1_SameSlot-32    	27941102	        39.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_Contended_K1_SameSlot-32    	26732512	        44.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_Contended_K1_SameSlot-32    	26829319	        44.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_Contended_K3_SameSlot-32    	31611522	        35.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_Contended_K3_SameSlot-32    	24723288	        49.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_Contended_K3_SameSlot-32    	31960885	        44.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_Lock_Contended_SameSlot-32              	26357470	        44.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_Lock_Contended_SameSlot-32              	29429502	        39.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_Lock_Contended_SameSlot-32              	31147776	        43.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_1-32         	17994897	        70.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_1-32         	14663325	        91.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_1-32         	14126834	        78.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_4-32         	 8975809	       137.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_4-32         	 8858647	       139.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_4-32         	 8787276	       137.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_16-32        	20561389	        59.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_16-32        	20408582	        52.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_16-32        	20048748	        58.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_64-32        	66454304	        17.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_64-32        	68693104	        17.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_64-32        	71157878	        17.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_256-32       	202880655	         6.002 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_256-32       	201370022	         5.947 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_256-32       	200228365	         6.011 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_1024-32      	450879872	         2.681 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_1024-32      	431479273	         2.735 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_1024-32      	446932986	         2.688 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_8192-32      	761843533	         1.654 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_8192-32      	749042484	         1.618 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K1/Slots_8192-32      	745677141	         1.627 ns/op	       0 B/op	       0 allocs/op
